type,n,threshold,usec
random,500,5,82.6
random,600,5,92.4
random,700,5,116
random,800,5,148.2
random,900,5,164.2
random,1000,5,181.8
random,1100,5,202.6
random,1200,5,217.8
random,1300,5,237.8
random,1400,5,269.4
random,1500,5,299.2
random,1600,5,326
random,1700,5,342
random,1800,5,360.4
random,1900,5,378.8
random,2000,5,399.6
random,2100,5,420.8
random,2200,5,439.2
random,2300,5,460.2
random,2400,5,478.2
random,2500,5,502.2
random,2600,5,523.4
random,2700,5,557.4
random,2800,5,590.4
random,2900,5,624.2
random,3000,5,655.6
random,3100,5,682.2
random,3200,5,708.2
random,3300,5,725.2
random,3400,5,750.4
random,3500,5,767.2
random,3600,5,792.2
random,3700,5,813.6
random,3800,5,834.6
random,3900,5,858.8
random,4000,5,872.2
random,4100,5,892.8
random,4200,5,921
random,4300,5,942.4
random,4400,5,965.2
random,4500,5,984
random,4600,5,1003.8
random,4700,5,1030.8
random,4800,5,1048.8
random,4900,5,1069.2
random,5000,5,1090
random,5100,5,1106
random,5200,5,1144.6
random,5300,5,1180
random,5400,5,1215.2
random,5500,5,1250
random,5600,5,1288.6
random,5700,5,1333.6
random,5800,5,1358
random,5900,5,1395
random,6000,5,1419.4
random,6100,5,1452
random,6200,5,1513.2
random,6300,5,1514
random,6400,5,1538.6
random,6500,5,1579.4
random,6600,5,1586.4
random,6700,5,1603
random,6800,5,1639.4
random,6900,5,1648
random,7000,5,1669.6
random,7100,5,1686.4
random,7200,5,1709
random,7300,5,1731.8
random,7400,5,1756.2
random,7500,5,1778
random,7600,5,1803
random,7700,5,1828.4
random,7800,5,1847.8
random,7900,5,1866.2
random,8000,5,1889.6
random,8100,5,1912.2
random,8200,5,1939.4
random,8300,5,1970.2
random,8400,5,1989.4
random,8500,5,2016.8
random,8600,5,2045.6
random,8700,5,2063.6
random,8800,5,2092.6
random,8900,5,2112.4
random,9000,5,2140.6
random,9100,5,2155.8
random,9200,5,2176
random,9300,5,2214.6
random,9400,5,2221.4
random,9500,5,2250
random,9600,5,2275
random,9700,5,2296
random,9800,5,2321.8
random,9900,5,2339
random,10000,5,2363
random,10100,5,2383
random,10200,5,2411.2
random,10300,5,2441
random,10400,5,2476.6
random,10500,5,2513
random,10600,5,2553.8
random,10700,5,2593.4
random,10800,5,2626.4
random,10900,5,2666.2
random,11000,5,2701.8
random,11100,5,2774.4
random,11200,5,2778.4
random,11300,5,2845.2
random,11400,5,2869.6
random,11500,5,2898.2
random,11600,5,2930.2
random,11700,5,2958.4
random,11800,5,2999.4
random,11900,5,3029
random,12000,5,3068.6
random,12100,5,3098
random,12200,5,3134
random,12300,5,3170.6
random,12400,5,3189.4
random,12500,5,3228
random,12600,5,3247.2
random,12700,5,3268.4
random,12800,5,3288.6
random,12900,5,3316.6
random,13000,5,3334.6
random,13100,5,3358.8
random,13200,5,3394.6
random,13300,5,3420.4
random,13400,5,3446.6
random,13500,5,3479.2
random,13600,5,3487.6
random,13700,5,3516.6
random,13800,5,3541
random,13900,5,3564.8
random,14000,5,3585.2
random,14100,5,3614.6
random,14200,5,3631
random,14300,5,3655.2
random,14400,5,3706.6
random,14500,5,3709.2
random,14600,5,3734.6
random,14700,5,3763.2
random,14800,5,3788.2
random,14900,5,3806.6
random,15000,5,3838.6
random,15100,5,3850.6
random,15200,5,3878
random,15300,5,3910.6
random,15400,5,3930.4
random,15500,5,3951.6
random,15600,5,3981.2
random,15700,5,4001.2
random,15800,5,4028
random,15900,5,4052.2
random,16000,5,4075.6
random,16100,5,4101.6
random,16200,5,4118.4
random,16300,5,4141.2
random,16400,5,4180
random,16500,5,4207.4
random,16600,5,4243.4
random,16700,5,4272.4
random,16800,5,4279.6
random,16900,5,4342.6
random,17000,5,4349.4
random,17100,5,4368.4
random,17200,5,4410
random,17300,5,4415.6
random,17400,5,4452.6
random,17500,5,4525
random,17600,5,4501.8
random,17700,5,4519
random,17800,5,4537
random,17900,5,4612
random,18000,5,4682.2
random,18100,5,4717
random,18200,5,4695.6
random,18300,5,4671.6
random,18400,5,4681.4
random,18500,5,4701
random,18600,5,4759.6
random,18700,5,4825.2
random,18800,5,5241.6
random,18900,5,4899.6
random,19000,5,5084.4
random,19100,5,4938.6
random,19200,5,5058.4
random,19300,5,4922
random,19400,5,4930
random,19500,5,4972.8
random,19600,5,4993.2
random,19700,5,5021
random,19800,5,5111.2
random,19900,5,5093.8
random,20000,5,5413
random,20100,5,5374.6
random,20200,5,5205
random,20300,5,5170
random,20400,5,5225
random,20500,5,5293.6
random,20600,5,5329.8
random,20700,5,5384
random,20800,5,5523.2
random,20900,5,5503.4
random,21000,5,5556.6
random,21100,5,5587.8
random,21200,5,5608.2
random,21300,5,5619.2
random,21400,5,5701.2
