type,n,threshold,usec
random,500,0,125.8
random,600,0,155.4
random,700,0,176
random,800,0,199.8
random,900,0,231
random,1000,0,256.8
random,1100,0,297.6
random,1200,0,314.8
random,1300,0,348.2
random,1400,0,376.8
random,1500,0,436.6
random,1600,0,454.6
random,1700,0,482
random,1800,0,505
random,1900,0,484.2
random,2000,0,496.6
random,2100,0,527.8
random,2200,0,563.4
random,2300,0,590.2
random,2400,0,630.4
random,2500,0,652.4
random,2600,0,692
random,2700,0,727.2
random,2800,0,768.4
random,2900,0,784.8
random,3000,0,809
random,3100,0,839.2
random,3200,0,868
random,3300,0,900.2
random,3400,0,930.8
random,3500,0,957
random,3600,0,974.8
random,3700,0,992.4
random,3800,0,1026.4
random,3900,0,1065
random,4000,0,1086
random,4100,0,1099.6
random,4200,0,1144.4
random,4300,0,1173.8
random,4400,0,1197
random,4500,0,1236.4
random,4600,0,1263.2
random,4700,0,1301
random,4800,0,1328.4
random,4900,0,1467.8
random,5000,0,1450.2
random,5100,0,1427.6
random,5200,0,1427.6
random,5300,0,1484.2
random,5400,0,1580
random,5500,0,1698.6
random,5600,0,1716.2
random,5700,0,1879.4
random,5800,0,1660
random,5900,0,1690.6
random,6000,0,1718.8
random,6100,0,1739.2
random,6200,0,1772.2
random,6300,0,1787.8
random,6400,0,1816.8
random,6500,0,1840.6
random,6600,0,1995.2
random,6700,0,2020
random,6800,0,2020.2
random,6900,0,2009.6
random,7000,0,2010.2
random,7100,0,2046.8
random,7200,0,2066.2
random,7300,0,2107.8
random,7400,0,2128
random,7500,0,2161.2
random,7600,0,2279.4
random,7700,0,2266.6
random,7800,0,2291.8
random,7900,0,2300
random,8000,0,2320.2
random,8100,0,2335.6
random,8200,0,2337
random,8300,0,2418.2
random,8400,0,2490.2
random,8500,0,2413.2
random,8600,0,2474.6
random,8700,0,2510.4
random,8800,0,2558.8
random,8900,0,2596.8
random,9000,0,2612.8
random,9100,0,2650
random,9200,0,2690.6
random,9300,0,2712.2
random,9400,0,2737.2
random,9500,0,2771.8
random,9600,0,2808.4
random,9700,0,2844.4
random,9800,0,2870.6
random,9900,0,2904.8
random,10000,0,2941
random,10100,0,2963.4
random,10200,0,2982.4
random,10300,0,3024.8
random,10400,0,3053.6
random,10500,0,3093.8
random,10600,0,3116.2
random,10700,0,3162.2
random,10800,0,3189.4
random,10900,0,3219.4
random,11000,0,3254.8
random,11100,0,3296.4
random,11200,0,3315.8
random,11300,0,3348.2
random,11400,0,3371.6
random,11500,0,3410.4
random,11600,0,3447.6
random,11700,0,3471
random,11800,0,3493.6
random,11900,0,3535.4
random,12000,0,3590.6
random,12100,0,3624.8
random,12200,0,3635.4
random,12300,0,3700.4
random,12400,0,3720
random,12500,0,3753.4
random,12600,0,3780.6
random,12700,0,3804.8
random,12800,0,3826.6
random,12900,0,3856.2
random,13000,0,3882.8
random,13100,0,3924.4
random,13200,0,3936.8
random,13300,0,4002.2
random,13400,0,4083.4
random,13500,0,4032.2
random,13600,0,4101.8
random,13700,0,4138.4
random,13800,0,4163.2
random,13900,0,4212
random,14000,0,4233.2
random,14100,0,4250.8
random,14200,0,4296.6
random,14300,0,4318
random,14400,0,4353.2
random,14500,0,4388
random,14600,0,4424.4
random,14700,0,4466
random,14800,0,4482
random,14900,0,4509
random,15000,0,4548.6
random,15100,0,4566.6
random,15200,0,4613.2
random,15300,0,4651.6
random,15400,0,4680.6
random,15500,0,4775.8
random,15600,0,4811.2
random,15700,0,4836.4
random,15800,0,4943.6
random,15900,0,4857
random,16000,0,4866.2
random,16100,0,4901.6
random,16200,0,5015.2
random,16300,0,4957.4
random,16400,0,5011.6
random,16500,0,5049.4
random,16600,0,5070.4
random,16700,0,5121.8
random,16800,0,5160
random,16900,0,5169.8
random,17000,0,5237.8
random,17100,0,5340.2
random,17200,0,5316.4
random,17300,0,5368.8
random,17400,0,5382.8
random,17500,0,5426.6
random,17600,0,5554.8
random,17700,0,5576
random,17800,0,5563.6
random,17900,0,5549.2
random,18000,0,5581.6
random,18100,0,5611.4
random,18200,0,5644.2
random,18300,0,5665.6
random,18400,0,5705
random,18500,0,5744
random,18600,0,5776.2
random,18700,0,5837
random,18800,0,5888
random,18900,0,5933.6
random,19000,0,6350.6
random,19100,0,6342.8
random,19200,0,6347.2
random,19300,0,6399.4
random,19400,0,6381
random,19500,0,6423.4
random,19600,0,6443.6
random,19700,0,6121.2
random,19800,0,6218.6
random,19900,0,6279.4
random,20000,0,6266.8
random,20100,0,6348.4
random,20200,0,6576
random,20300,0,6934.6
random,20400,0,6738.4
random,20500,0,6522
random,20600,0,6482.6
random,20700,0,6515.8
random,20800,0,6531.2
random,20900,0,6555.8
random,21000,0,6611.8
random,21100,0,6676.6
random,21200,0,6729.2
random,21300,0,6885
random,21400,0,6785.8
random,21500,0,6816
random,21600,0,6858.4
random,21700,0,6916.2
random,21800,0,21119.2
random,21900,0,7563.6
random,22000,0,7507.2
random,22100,0,7632.8
random,22200,0,7366
random,22300,0,7290
random,22400,0,7425.6
random,22500,0,7712.4
random,22600,0,7504.4
random,22700,0,7245.4
random,22800,0,7305.6
random,22900,0,7360.2
random,23000,0,7344.2
random,23100,0,7364
random,23200,0,7361
random,23300,0,7808.8
random,23400,0,7722
random,23500,0,7748
random,23600,0,7773.8
random,23700,0,7809.4
random,23800,0,7943.6
random,23900,0,7520.6
random,24000,0,7509
random,24100,0,7571.4
random,24200,0,7593.2
random,24300,0,7641.6
random,24400,0,7681.8
random,24500,0,7704
random,24600,0,7730.4
random,24700,0,7770.4
random,24800,0,7908.8
random,24900,0,7889
random,25000,0,7893.4
random,25100,0,7941.2
random,25200,0,7965
random,25300,0,7973.2
random,25400,0,8051
random,25500,0,8081.4
random,25600,0,8104.2
random,25700,0,8108.4
random,25800,0,8138.4
random,25900,0,8172.2
random,26000,0,8209.2
random,26100,0,8240.4
random,26200,0,8273.4
random,26300,0,8322.4
random,26400,0,8366.4
random,26500,0,9407.6
random,26600,0,9121.4
random,26700,0,8849.2
random,26800,0,8793.8
random,26900,0,8765.2
random,27000,0,8782.6
random,27100,0,9071.6
random,27200,0,8974.4
random,27300,0,8838
