stream_id,step,processed,true_unique,estimate,algo,b_or_p,m,seed
0,0,1000,992,945.109168,hll,8,256,42
0,0,1000,992,992.014664,hllpp,8,256,42
0,1,2000,1968,1821.503903,hll,8,256,42
0,1,2000,1968,1968.057715,hllpp,8,256,42
0,2,4000,3924,3945.523269,hll,8,256,42
0,2,4000,3924,3924.229463,hllpp,8,256,42
0,3,10000,9716,9970.000057,hll,8,256,42
0,3,10000,9716,10290.462919,hllpp,8,256,42
0,4,20000,19332,23416.302053,hll,8,256,42
0,4,20000,19332,18842.425653,hllpp,8,256,42
1,0,1000,991,1013.124927,hll,8,256,143
1,0,1000,991,991.014634,hllpp,8,256,143
1,1,2000,1974,2027.016727,hll,8,256,143
1,1,2000,1974,1974.058067,hllpp,8,256,143
1,2,4000,3915,3957.590080,hll,8,256,143
1,2,4000,3915,3915.228411,hllpp,8,256,143
1,3,10000,9717,9933.274831,hll,8,256,143
1,3,10000,9717,9170.775878,hllpp,8,256,143
1,4,20000,19313,17993.964779,hll,8,256,143
1,4,20000,19313,17853.175407,hllpp,8,256,143
2,0,1000,995,911.647640,hll,8,256,244
2,0,1000,995,995.014753,hllpp,8,256,244
2,1,2000,1981,1931.652514,hll,8,256,244
2,1,2000,1981,1981.058480,hllpp,8,256,244
2,2,4000,3917,3985.320862,hll,8,256,244
2,2,4000,3917,3917.228645,hllpp,8,256,244
2,3,10000,9719,9150.916622,hll,8,256,244
2,3,10000,9719,9569.438474,hllpp,8,256,244
2,4,20000,19335,18199.905187,hll,8,256,244
2,4,20000,19335,18429.098053,hllpp,8,256,244
3,0,1000,992,955.014716,hll,8,256,345
3,0,1000,992,992.014664,hllpp,8,256,345
3,1,2000,1972,1823.347024,hll,8,256,345
3,1,2000,1972,1972.057950,hllpp,8,256,345
3,2,4000,3919,3861.361193,hll,8,256,345
3,2,4000,3919,3919.228878,hllpp,8,256,345
3,3,10000,9710,8921.785937,hll,8,256,345
3,3,10000,9710,9926.371041,hllpp,8,256,345
3,4,20000,19320,17814.617414,hll,8,256,345
3,4,20000,19320,20371.898262,hllpp,8,256,345
4,0,1000,990,947.654729,hll,8,256,446
4,0,1000,990,990.014605,hllpp,8,256,446
4,1,2000,1964,1928.947048,hll,8,256,446
4,1,2000,1964,1964.057480,hllpp,8,256,446
4,2,4000,3908,3434.626297,hll,8,256,446
4,2,4000,3908,3908.227595,hllpp,8,256,446
4,3,10000,9687,9941.437509,hll,8,256,446
4,3,10000,9687,9890.473267,hllpp,8,256,446
4,4,20000,19292,16836.621373,hll,8,256,446
4,4,20000,19292,20462.161376,hllpp,8,256,446
5,0,1000,997,1163.748377,hll,8,256,547
5,0,1000,997,996.014782,hllpp,8,256,547
5,1,2000,1972,2053.746523,hll,8,256,547
5,1,2000,1972,1971.057891,hllpp,8,256,547
5,2,4000,3915,4083.569788,hll,8,256,547
5,2,4000,3915,3914.228295,hllpp,8,256,547
5,3,10000,9724,9180.546191,hll,8,256,547
5,3,10000,9724,10675.885653,hllpp,8,256,547
5,4,20000,19342,19521.926386,hll,8,256,547
5,4,20000,19342,19434.760654,hllpp,8,256,547
6,0,1000,998,1020.071481,hll,8,256,648
6,0,1000,998,998.014842,hllpp,8,256,648
6,1,2000,1980,1815.466754,hll,8,256,648
6,1,2000,1980,1980.058421,hllpp,8,256,648
6,2,4000,3924,3944.231878,hll,8,256,648
6,2,4000,3924,3924.229463,hllpp,8,256,648
6,3,10000,9722,9648.813657,hll,8,256,648
6,3,10000,9722,10188.875964,hllpp,8,256,648
6,4,20000,19347,20095.870666,hll,8,256,648
6,4,20000,19347,19643.779156,hllpp,8,256,648
7,0,1000,992,920.755244,hll,8,256,749
7,0,1000,992,992.014664,hllpp,8,256,749
7,1,2000,1975,1763.130963,hll,8,256,749
7,1,2000,1975,1975.058126,hllpp,8,256,749
7,2,4000,3924,3475.397336,hll,8,256,749
7,2,4000,3924,3924.229463,hllpp,8,256,749
7,3,10000,9732,8290.756411,hll,8,256,749
7,3,10000,9732,9205.475312,hllpp,8,256,749
7,4,20000,19361,17827.176839,hll,8,256,749
7,4,20000,19361,19326.763381,hllpp,8,256,749
8,0,1000,989,1085.567592,hll,8,256,850
8,0,1000,989,989.014575,hllpp,8,256,850
8,1,2000,1964,2160.648958,hll,8,256,850
8,1,2000,1964,1964.057480,hllpp,8,256,850
8,2,4000,3907,4116.569653,hll,8,256,850
8,2,4000,3907,3907.227479,hllpp,8,256,850
8,3,10000,9680,9651.832458,hll,8,256,850
8,3,10000,9680,9408.107622,hllpp,8,256,850
8,4,20000,19343,21431.351324,hll,8,256,850
8,4,20000,19343,20162.971335,hllpp,8,256,850
9,0,1000,993,1065.706549,hll,8,256,951
9,0,1000,993,993.014694,hllpp,8,256,951
9,1,2000,1976,2097.855375,hll,8,256,951
9,1,2000,1976,1976.058185,hllpp,8,256,951
9,2,4000,3928,4204.627894,hll,8,256,951
9,2,4000,3928,3928.229931,hllpp,8,256,951
9,3,10000,9716,9279.094389,hll,8,256,951
9,3,10000,9716,11247.597493,hllpp,8,256,951
9,4,20000,19331,20008.389680,hll,8,256,951
9,4,20000,19331,20431.533861,hllpp,8,256,951
10,0,1000,995,925.084592,hll,8,256,1052
10,0,1000,995,995.014753,hllpp,8,256,1052
10,1,2000,1975,1882.568394,hll,8,256,1052
10,1,2000,1975,1975.058126,hllpp,8,256,1052
10,2,4000,3929,3818.507949,hll,8,256,1052
10,2,4000,3929,3929.230048,hllpp,8,256,1052
10,3,10000,9725,9315.834715,hll,8,256,1052
10,3,10000,9725,10538.287812,hllpp,8,256,1052
10,4,20000,19341,18531.805901,hll,8,256,1052
10,4,20000,19341,20402.853116,hllpp,8,256,1052
11,0,1000,988,962.701374,hll,8,256,1153
11,0,1000,988,988.014546,hllpp,8,256,1153
11,1,2000,1972,1930.023509,hll,8,256,1153
11,1,2000,1972,1972.057950,hllpp,8,256,1153
11,2,4000,3911,4193.204465,hll,8,256,1153
11,2,4000,3911,3911.227945,hllpp,8,256,1153
11,3,10000,9690,10747.332456,hll,8,256,1153
11,3,10000,9690,9349.488719,hllpp,8,256,1153
11,4,20000,19356,20139.426150,hll,8,256,1153
11,4,20000,19356,20383.204916,hllpp,8,256,1153
12,0,1000,996,932.140810,hll,8,256,1254
12,0,1000,996,996.014782,hllpp,8,256,1254
12,1,2000,1986,1909.759842,hll,8,256,1254
12,1,2000,1986,1986.058775,hllpp,8,256,1254
12,2,4000,3927,3812.863429,hll,8,256,1254
12,2,4000,3927,3927.229814,hllpp,8,256,1254
12,3,10000,9751,9175.194504,hll,8,256,1254
12,3,10000,9751,9777.622714,hllpp,8,256,1254
12,4,20000,19406,19014.307448,hll,8,256,1254
12,4,20000,19406,18826.269861,hllpp,8,256,1254
13,0,1000,997,1041.776068,hll,8,256,1355
13,0,1000,997,997.014812,hllpp,8,256,1355
13,1,2000,1976,2268.190847,hll,8,256,1355
13,1,2000,1976,1976.058185,hllpp,8,256,1355
13,2,4000,3931,4742.906754,hll,8,256,1355
13,2,4000,3931,3931.230282,hllpp,8,256,1355
13,3,10000,9707,10558.124555,hll,8,256,1355
13,3,10000,9707,10371.975099,hllpp,8,256,1355
13,4,20000,19330,20356.833826,hll,8,256,1355
13,4,20000,19330,20129.438962,hllpp,8,256,1355
14,0,1000,990,1035.743307,hll,8,256,1456
14,0,1000,990,990.014605,hllpp,8,256,1456
14,1,2000,1968,2004.093538,hll,8,256,1456
14,1,2000,1968,1968.057715,hllpp,8,256,1456
14,2,4000,3901,3598.037436,hll,8,256,1456
14,2,4000,3901,3901.226780,hllpp,8,256,1456
14,3,10000,9699,9049.980338,hll,8,256,1456
14,3,10000,9699,10454.151212,hllpp,8,256,1456
14,4,20000,19345,18391.687543,hll,8,256,1456
14,4,20000,19345,21506.652847,hllpp,8,256,1456
